category,message,processed_text,target
ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,weightloss girl make loads money ebay give thanks,0
ham,jay says he'll put in  &lt;#&gt;,jay says hell put ltgt,0
ham,Why de. You looking good only:-)..,looking good,0
ham,What happened in interview?,happened interview,0
ham,There are many company. Tell me the language.,many tell,0
ham,That's y i said it's bad dat all e gals know u... Wat u doing now?,thats said bad dat e gals know wat u,0
ham,No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.,drama enough family struggling hot sun strange reason ego going invited actually necessity serious,0
ham,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer,becoz ltgt jan whn al post ofice holiday cn go fr post duffer,0
spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",orange brings ringtones time chart heroes free hit week go ringtones pics stop receiving tips reply,1
ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,hows hope showing jjc take live dream,0
ham,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation.",said gonna snow start around pm tonite predicting inch,0
ham,EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.,ey calm downon itxt u cos iwana know wotu r doin haventcn u ur nething j,0
ham,Are you available for soiree on June 3rd?,available soiree june rd,0
ham,Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.,lol please actually send pic right wanna pose comb hair dryer,0
ham,Lara said she can loan me  &lt;#&gt; .,lara said loan ltgt,0
spam,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,freemsg records indicate may entitled pounds accident claim free reply yes opt text stop,1
ham,BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...,babe miiiiiiissssssssss need crave geeee im sad without babe love,0
spam,You have 1 new message. Please call 08718738034.,new please call,1
ham,I anything lor.,anything,0
ham,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,hear loud scream ltgt minutes cause gyno shoving things dont belong,0
ham,Lol that's different. I don't go trying to find every real life photo you ever took.,lol thats dont go trying find every real life photo ever,0
ham,That is wondar full flim.,wondar full,0
ham,"Ta-Daaaaa! I am home babe, are you still up ?",tadaaaaa home babe still,0
spam,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,important information orange user today lucky dayfind log onto theres fantastic surprise awaiting,1
ham,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who ""smokes too much"" for the entire month of february, I'll come up",tell make little spreadsheet track whose idea smoke determine smokes much entire month february ill come,0
ham,My sister cleared two round in birla soft yesterday.,sister cleared two round birla soft,0
ham,Ok lor...,ok,0
ham,Wishing you a wonderful week.,wishing wonderful,0
ham,"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?",sorry flaked last night shits seriously goin roommate tonight,0
ham,have * good weekend.,good,0
ham,Not directly behind... Abt 4 rows behind ü...,directly abt rows behind,0
ham,"My planning usually stops at ""find hella weed, smoke hella weed""",planning usually stops find hella weed smoke hella weed,0
ham,Hasn't that been the pattern recently crap weekends?,hasnt pattern recently crap weekends,0
ham,Full heat pa:-) i have applyed oil pa.,full heat pa applyed oil,0
ham,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.,also thk xy suggest one u dun wan going rain leh got,0
ham,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",im eatin lor goin back work e mountain deer show watch b liao,0
ham,Not..tel software name..,software,0
ham,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,ltgt ish minutes minutes,0
ham,I told your number to gautham..,told number,0
ham,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th,unfortunately ive found pick sister airport evening dont think ill going try go one th,0
ham,What about this one then.,one,0
ham,"I can't right this second, gotta hit people up first",cant right second gotta hit people first,0
ham,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.",nothing smsing u n xy sorry lor da guys neva c u person sort know u u wan meet xy ask bring u along next,0
ham,IM LATE TELLMISS IM ON MY WAY,im late tellmiss im way,0
ham,Hi' Test on  &lt;#&gt; rd ....,hi test ltgt rd,0
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi spoke maneesha wed like know satisfied reply toll free yes,0
ham,You'll never believe this but i have actually got off at taunton. Wow,youll never believe actually got wow,0
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call customer service representative freephone ampm guaranteed cash prize,1
ham,I'm in a movie. Call me 4 wat?,im call wat,0
ham,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me",aight text youre back mu ill swing need somebody get door,0
ham,Ok no prob. Take ur time.,ok take ur,0
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,private account statement shows unredeemed call identifier code expires,1
spam,You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill,donate unicefs asian tsunami disaster support fund texting donate added next bill,1
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",free nokia motorola upto mths price linerental free xnet minstxtmth free call mobileupd call optoutdwv,1
ham,K.:)you are the only girl waiting in reception ah?,girl waiting reception ah,0
ham,Ok... But bag again..,bag,0
ham,Please sen :)my kind advice :-)please come here and try:-),please sen kind advice please come try,0
ham,Gud ni8.swt drms.take care,gud care,0
spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,specially selected receive pound award call lines cost tcs ag promo,1
ham,K da:)how many page you want?,k dahow many page want,0
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,sms auction nokia get win free take part send nokia hgsuitelands rowwjhl,1
ham,SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630,sorry im stil fucked last nite went tobed got work,0
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call customer service representative freephone ampm guaranteed cash prize,1
ham,Check wid corect speling i.e. Sarcasm,check wid corect speling sarcasm,0
ham,"chile, please! It's only a  &lt;DECIMAL&gt;  hour drive for me. I come down all the time and will be subletting feb-april for audition season.",chile please ltdecimalgt hour drive come time subletting febapril audition,0
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only,urgent trying contact todays draw shows prize call land claim valid hrs,1
ham,Why did I wake up on my own &gt;:(,wake gt,0
ham,"Yeah, that's fine! It's £6 to get in, is that ok? ",yeah thats fine get ok,0
ham,Ard 6 like dat lor.,ard like dat,0
ham,Are u awake? Is there snow there?,u awake snow,0
